"0.000000","-nan(ind)"
"0.020000","0.066895"
"0.040000","0.148252"
"0.060000","0.242102"
"0.080000","0.345664"
"0.100000","0.455458"
"0.120000","0.567480"
"0.140000","0.677395"
"0.160000","0.780770"
"0.180000","0.873303"
"0.200000","-nan(ind)"
"0.220000","1.010656"
"0.240000","1.049466"
"0.260000","1.065716"
"0.280000","1.058567"
"0.300000","1.028132"
"0.320000","0.975432"
"0.340000","0.902300"
"0.360000","0.811249"
"0.380000","0.705299"
"0.400000","-nan(ind)"
"0.420000","0.462169"
"0.440000","0.331850"
"0.460000","0.200000"
"0.480000","0.069436"
"0.500000","-0.057473"
"0.520000","-0.178851"
"0.540000","-0.293318"
"0.560000","-0.399946"
"0.580000","-0.498190"
"0.600000","-nan(ind)"
"0.620000","-0.668631"
"0.640000","-0.740677"
"0.660000","-0.803818"
"0.680000","-0.857806"
"0.700000","-0.902196"
"0.720000","-0.936324"
"0.740000","-0.959321"
"0.760000","-0.970165"
"0.780000","-0.967763"
"0.800000","-nan(ind)"
"0.820000","-0.919141"
"0.840000","-0.871388"
"0.860000","-0.807557"
"0.880000","-0.727893"
"0.900000","-0.633183"
"0.920000","-0.524792"
"0.940000","-0.404644"
"0.960000","-0.275176"
"0.980000","-0.139243"
"1.000000","-nan(ind)"
"1.020000","0.139243"
"1.040000","0.275176"
"1.060000","0.404644"
"1.080000","0.524792"
"1.100000","0.633183"
"1.120000","0.727893"
"1.140000","0.807557"
"1.160000","0.871388"
"1.180000","0.919141"
"1.200000","-nan(ind)"
"1.220000","0.967763"
"1.240000","0.970165"
"1.260000","0.959321"
"1.280000","0.936324"
"1.300000","0.902196"
"1.320000","0.857806"
"1.340000","0.803818"
"1.360000","0.740677"
"1.380000","0.668631"
"1.400000","-nan(ind)"
"1.420000","0.498190"
"1.440000","0.399946"
"1.460000","0.293318"
"1.480000","0.178851"
"1.500000","0.057473"
"1.520000","-0.069436"
"1.540000","-0.200000"
"1.560000","-0.331850"
"1.580000","-0.462169"
"1.600000","-nan(ind)"
"1.620000","-0.705299"
"1.640000","-0.811249"
"1.660000","-0.902300"
"1.680000","-0.975432"
"1.700000","-1.028132"
"1.720000","-1.058567"
"1.740000","-1.065716"
"1.760000","-1.049466"
"1.780000","-1.010656"
"1.800000","-nan(ind)"
"1.820000","-0.873303"
"1.840000","-0.780770"
"1.860000","-0.677395"
"1.880000","-0.567480"
"1.900000","-0.455458"
"1.920000","-0.345664"
"1.940000","-0.242102"
"1.960000","-0.148252"
"1.980000","-0.066895"
"2.000000","-nan(ind)"
